Comment,Designator,Footprint,LCSC
4.7k,"R5,R6",R_0402_1005Metric,C105871
1uF,"C4,C6,C8",C_0402_1005Metric,C14445
100,R4,R_0402_1005Metric,C25076
10k,R3,R_0402_1005Metric,C25744
5.1k,"R1,R2",R_0402_1005Metric,C25905
~,USB1,USB-C-SMD_TYPE-C-6PIN-2MD-073,C2765186
2.4GHz,U1,BULETM-SMD_ESP32-S3-MINI-1-N8,C2913206
~,MIC1,MIC-SMD_5P-L3.5-W2.7-TL_MMICT390200012,C3171752
~,U3,SOT-223-4_L6.5-W3.5-P2.30-LS7.0-BR,C347222
~,"SW1,SW2",SW-SMD_4P-L2.8-W1.9-P1.16-LS3.0,C388293
22uF,C2,C_0402_1005Metric,C415703
~,U2,VSSOP-10_L3.0-W3.0-P0.50-LS4.9-BL,C527464
100nF,"C1,C11,C13,C3,C5,C9",C_0402_1005Metric,C60474
10uF,"C10,C12,C7",C_0402_1005Metric,C77000
LED,D1,LED_0603_1608Metric,C965805
